,TEAM,Team_id,year,month,FGA,FG_P,3PA,3P_P,OFFRTG,DEFRTG,REB_P,AST/TO,PACE
170,New York Knicks,New York Knicks_3_2011,2011,3,83.1,45.3,25.6,38.0,112.7,112.9,47.7,1.67,93.74
171,Sacramento Kings,Sacramento Kings_3_2011,2011,3,86.9,46.2,16.4,39.3,104.2,108.2,52.9,1.27,98.31
172,Golden State Warriors,Golden State Warriors_3_2011,2011,3,87.5,46.5,21.3,39.3,107.0,109.2,48.1,1.53,96.82
173,Phoenix Suns,Phoenix Suns_3_2011,2011,3,85.3,46.2,22.7,38.6,106.6,109.9,47.0,1.73,95.57
174,Detroit Pistons,Detroit Pistons_3_2011,2011,3,83.7,47.8,15.2,35.0,109.8,113.9,50.2,1.86,90.73
175,Toronto Raptors,Toronto Raptors_3_2011,2011,3,83.9,46.2,13.8,35.2,106.2,113.1,49.2,1.59,93.28
176,Utah Jazz,Utah Jazz_3_2011,2011,3,82.6,46.7,15.5,37.3,106.6,113.3,50.6,1.37,92.67
177,Cleveland Cavaliers,Cleveland Cavaliers_3_2011,2011,3,78.5,42.7,15.7,33.9,98.8,107.6,48.9,1.22,91.83
178,Minnesota Timberwolves,Minnesota Timberwolves_3_2011,2011,3,83.5,44.3,16.9,38.6,101.0,106.8,49.7,1.24,96.8
179,Washington Wizards,Washington Wizards_3_2011,2011,3,85.8,43.0,13.9,27.3,99.9,113.0,47.8,1.14,94.96
180,Chicago Bulls,Chicago Bulls_4_2011,2011,4,77.1,48.1,17.9,37.1,110.8,102.1,52.4,1.73,90.63
181,Miami Heat,Miami Heat_4_2011,2011,4,74.3,50.8,17.3,37.2,112.7,98.9,55.2,1.33,90.21
182,New York Knicks,New York Knicks_4_2011,2011,4,83.6,46.0,30.0,37.1,113.8,107.9,46.9,1.81,96.86
183,Orlando Magic,Orlando Magic_4_2011,2011,4,74.7,45.1,25.9,35.9,105.2,98.4,53.7,1.09,88.19
184,Portland Trail Blazers,Portland Trail Blazers_4_2011,2011,4,79.1,43.7,19.4,34.6,109.0,109.0,47.2,2.05,87.5
185,Golden State Warriors,Golden State Warriors_4_2011,2011,4,88.7,44.9,22.0,37.9,109.4,103.3,48.5,2.01,95.25
186,Denver Nuggets,Denver Nuggets_4_2011,2011,4,83.3,47.7,19.9,38.4,109.3,104.1,51.3,1.56,96.81
187,Milwaukee Bucks,Milwaukee Bucks_4_2011,2011,4,79.9,44.6,18.4,30.6,100.1,99.1,46.4,1.43,91.49
188,Oklahoma City Thunder,Oklahoma City Thunder_4_2011,2011,4,81.4,46.9,18.0,31.3,110.9,106.8,53.2,1.26,94.15
189,Washington Wizards,Washington Wizards_4_2011,2011,4,85.5,46.3,8.4,34.3,105.4,105.3,52.1,1.09,96.19
190,Dallas Mavericks,Dallas Mavericks_4_2011,2011,4,81.4,48.4,22.6,32.3,109.4,101.4,52.8,1.57,93.4
191,Houston Rockets,Houston Rockets_4_2011,2011,4,86.0,45.8,24.1,34.3,107.6,102.8,51.8,1.73,95.24
192,Memphis Grizzlies,Memphis Grizzlies_4_2011,2011,4,80.6,47.5,10.9,39.5,106.2,101.4,51.6,1.36,91.71
193,San Antonio Spurs,San Antonio Spurs_4_2011,2011,4,81.1,48.9,20.1,39.0,114.2,107.1,52.5,1.75,93.11
194,Boston Celtics,Boston Celtics_4_2011,2011,4,73.9,48.6,11.5,39.1,101.5,101.0,49.3,1.38,91.0
195,Cleveland Cavaliers,Cleveland Cavaliers_4_2011,2011,4,81.0,46.3,19.4,30.3,108.4,109.2,48.3,1.66,93.5
196,Detroit Pistons,Detroit Pistons_4_2011,2011,4,80.3,49.7,13.8,33.6,112.7,111.0,52.9,1.58,92.94
197,Indiana Pacers,Indiana Pacers_4_2011,2011,4,84.2,45.7,18.8,38.1,106.9,105.7,49.2,1.47,96.42
198,Phoenix Suns,Phoenix Suns_4_2011,2011,4,84.3,47.6,19.8,36.1,109.1,112.5,48.4,1.79,94.58
199,Los Angeles Clippers,Los Angeles Clippers_4_2011,2011,4,81.1,45.4,16.9,35.6,101.2,106.2,48.6,1.18,94.71
200,New Orleans Hornets,New Orleans Hornets_4_2011,2011,4,78.0,45.8,13.6,42.1,104.8,112.0,49.7,1.7,89.36
201,Utah Jazz,Utah Jazz_4_2011,2011,4,78.0,46.9,14.1,37.4,104.3,107.6,49.2,1.51,89.71
202,Los Angeles Lakers,Los Angeles Lakers_4_2011,2011,4,81.4,44.1,18.8,32.7,101.3,102.5,49.6,1.41,93.41
